antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'dst_bytes'}),frozenset({'class_normal'}),0.09820577961257541,0.5338599555414417,0.08990949507780248,0.9155214227970898,1.714909337728031,1.0,0.03748136193992035,5.517849138710403,0.46227707527187656,0.16583687216283496,0.8187699636467927,0.5419677156367783
frozenset({'logged_in'}),frozenset({'class_normal'}),0.3947681803747221,0.5338599555414417,0.37853286757700855,0.9588738059326295,1.7961148724109453,1.0,0.16778194435298355,11.334383232617032,0.7323520060388157,0.6881223841824216,0.9117728790815637,0.8339614029291372
frozenset({'same_srv_rate'}),frozenset({'class_normal'}),0.6221022546840267,0.5338599555414417,0.5099634804699905,0.8197422154160287,1.5355004751848162,1.0,0.17784799844214538,2.585963460798063,0.9228595369026417,0.7894187046823156,0.6132969335570633,0.8874902615484486
frozenset({'srv_diff_host_rate'}),frozenset({'class_normal'}),0.17199904731660845,0.5338599555414417,0.1404414099714195,0.8165243480267712,1.5294729255327846,1.0,0.04861800621780457,2.5406098272187827,0.4180912970505808,0.24838528503229432,0.6063937133177569,0.5397961170574781
frozenset({'dst_host_srv_count'}),frozenset({'class_normal'}),0.4357732613528104,0.5338599555414417,0.40143696411559227,0.9212060484605575,1.7255574966776983,1.0,0.16879507018363182,5.9159368879376375,0.7452272645404941,0.7065111080061479,0.8309650662367679,0.8365789332197947
frozenset({'dst_host_same_srv_rate'}),frozenset({'class_normal'}),0.4987297554779295,0.5338599555414417,0.43263734518894886,0.8674785100286533,1.624917735492738,1.0,0.1663855001023073,3.5174675787251206,0.767219346885416,0.7211194918618501,0.7157045580040734,0.8389366674613488
frozenset({'dst_host_srv_diff_host_rate'}),frozenset({'class_normal'}),0.14984915846300412,0.5338599555414417,0.10741505239758653,0.7168211920529801,1.3427139170346252,1.0,0.0274165873226047,1.6460979119093146,0.3002287384485479,0.18638930982228957,0.3925027224898812,0.4590128712885913
frozenset({'protocol_type_udp'}),frozenset({'class_normal'}),0.11952207049857097,0.5338599555414417,0.09951571927596062,0.8326137495848556,1.5596107948205578,1.0,0.03570767203337245,2.7848168132236495,0.40752229809911267,0.1796746219451014,0.6409099531245578,0.5095108304768653
frozenset({'flag_SF'}),frozenset({'class_normal'}),0.5943553509050492,0.5338599555414417,0.5026595744680851,0.8457223001402524,1.5841650818003747,1.0,0.18535705325809748,3.0214350154450176,0.9090534216090501,0.8035408338092519,0.6690314387408021,0.89363964661262
frozenset({'service_domain_u'}),frozenset({'class_normal'}),0.0722451571927596,0.5338599555414417,0.0721260717688155,0.9983516483516484,1.8700628095229925,1.0,0.03355727536180439,282.79162697152634,0.5014887350918094,0.13507285162057686,0.996463827409923,0.5667273149929853
frozenset({'service_ftp_data'}),frozenset({'class_normal'}),0.0554144172753255,0.5338599555414417,0.03973483645601778,0.7170487106017192,1.3431400934997777,1.0,0.010151298113057611,1.647421524213031,0.27046360934409347,0.0723056919965328,0.3929908130357242,0.39573901810106776
frozenset({'service_http'}),frozenset({'class_normal'}),0.31768021594156876,0.5338599555414417,0.3002540489044141,0.9451455704110958,1.770399822276476,1.0,0.13065730294545258,8.497764865152256,0.6377593768154274,0.5446428571428572,0.8823219969169995,0.7537832841274008
frozenset({'service_smtp'}),frozenset({'class_normal'}),0.05751825976500476,0.5338599555414417,0.05517624642743728,0.9592822636300896,1.796879975118538,1.0,0.02446955082647074,11.448083464753378,0.4705447148830234,0.10290198400947584,0.9126491344093688,0.5313178364027464
